TIME,RACH stp att,RACH Stp Completion SR,Comp Cont based RACH stp SR,RRC stp att,RRC conn stp SR,E-UTRAN avg RRC conn UEs,RRC_CONNECTED_UE_AVG,E-RAB SAtt,E-UTRAN E-RAB stp SR,ERAB DR; RAN View,E-RAB Stp Att; QCI8,Inter-freq HO att,E-UTRAN Inter-Freq HO SR,E-UTRAN Intra-Freq HO SR,ATT_INTRA_ENB_HO,Intra eNB HO SR,inter eNB E-UTRAN HO SR X2,E-UTRAN avg IP sched thp DL; QCI8,E-UTRAN avg IP sched thp UL; QCI8,E-UTRAN Avg PRB usage per TTI DL,Avg PRB usage per TTI UL,PDCP SDU Volume; DL,PDCP SDU Volume; UL,ERAB Stp Att; QCI1,ERAB Stp SR; QCI1,ERAB DR; RAN View; QCI1,VoLTE traffic,DL MAC PDU VOL SCell,CA_UE_Scell_CONF_SCell_AVG,NUM_CA_UE_SERV_CELL_AVG,NUM_NON_CA_UE_SERV_CELL_AVG,Avg nbr UEs in serv cell,RLC_PDU_DL_VOL_CA_PCELL,RLC_VOL_DL_DRB_SCELL_UE,RLC_VOL_DL_SRB_DRB_NON_CA,PDCP_PDU_X2_DL_SCG,Total DL RLC Volume 1,Average CQI,Avg SINR for PUCCH,Avg SINR for PUSCH,Avg MCS PDSCH trans,Avg MCS PUSCH trans,Avg UE PWR Headroom PUSCH,LTE Interference Power (Ave PUSCH),E-UTRAN PDCP SDU DL QCI1 LR,E-UTRAN PDCP SDU UL QCI1 LR,QCI1 BLER; DL,QCI1 BLER; UL,Avg PDCP SDU Delay DL QCI1,AVG_HARQ_DELAY_QCI1_UL,Avg Latency DL,Avg UEs activ 3 SCells DL,Avg nbr UEs activ 4 Scells,Max PDCP Thr DL,Max PDCP Thr UL,RSRP_Avg,Measured_RSRP_AVE,Avg DL nonGBR IP thp CA active UEs 2 CCS,Avg DL nonGBR IP thp CA active UEs 3 CCS,Avg DL nonGBR IP thp CA active UEs 4 CCS
3/1/2024,10645247505,97.85,88.78,4410796623,99.76,16.41,16.5,6160339277,99.8,0.17,3495534728,400516101,95.98,99.18,600452604,98.01,98.73,17042.55,895.86,24.15,6.37,7876165018,586150084.5,6282160,99.94,0.07,95433.54,2.54184E+13,2234.64,3513.87,349.7,38.64,4.30357E+12,2.58322E+12,1.16027E+12,1.20766E+14,8167827.58,9.02,10.33,13.72,12.52,16.08,5.96,-114.12,0.11,0.38,0.11,0.58,9.55,6.02,24.2,0.07,0,668.66,96.3,-95.35842585,-95.36,17980.267,19923.885,26660.271
3/2/2024,9976832087,97.77,88.59,4170363776,99.75,15.86,15.9,5831340398,99.8,0.17,3284846242,376789043,95.85,99.15,550528779,97.92,98.66,16764.72,893.41,25.98,6.49,8552252031,605510507.1,4535858,99.93,0.08,63413.09,2.77016E+13,2122.88,3346.53,344.98,36.92,4.61894E+12,2.81535E+12,1.29473E+12,1.23394E+14,8852411.4,8.95,10.34,13.7,12.62,16.18,5.89,-114.11,0.12,0.4,0.12,0.58,7.9,4.98,25.11,0.07,0,754.36,94.67,-95.4789463,-95.48,17571.746,19753.557,27588.506
3/3/2024,9954649489,97.52,87.93,4118754995,99.76,15.72,15.74,5773921440,99.81,0.17,3233248993,373547322,95.79,99.15,546785212,97.9,98.66,16763.26,912.53,25.7,6.47,8500421034,609814603,3907346,99.94,0.08,54333.41,2.74598E+13,2098.83,3309.71,342.34,36.52,4.60316E+12,2.78989E+12,1.28376E+12,1.23208E+14,8800006.23,8.96,10.33,13.76,12.64,16.25,5.95,-114.08,0.12,0.4,0.12,0.58,7.15,4.51,25.09,0.07,0,630.7,101.29,-95.41916284,-95.42,17576.045,19622.892,27126.442
3/4/2024,10626804625,97.84,88.43,4413331042,99.76,16.36,16.47,6246309302,99.81,0.17,3487262216,395403392,95.94,99.22,590206578,97.99,98.77,17537.41,932.99,23.18,6.33,7611154028,590718611.4,6413501,99.94,0.07,101665.86,2.44761E+13,2231.49,3506.15,350.51,38.57,4.18961E+12,2.48687E+12,1.09978E+12,1.16585E+14,7892844.08,9.06,10.36,13.77,12.54,16.14,6.08,-114.13,0.11,0.37,0.1,0.56,9.57,6.05,23.43,0.07,0,679.59,96.94,-95.30332435,-95.3,18560.666,20376.402,26757.263
3/5/2024,10789546836,97.85,88.34,4470229520,99.75,16.56,16.67,6356207332,99.8,0.18,3528401689,412143627,96,99.21,607266929,98,98.75,17303.51,905.99,23.33,6.4,7644544339,593072148.1,6596263,99.94,0.07,103369.38,2.46008E+13,2268.22,3559.21,354.01,39.13,4.20934E+12,2.50076E+12,1.10124E+12,1.17921E+14,7929259.5,9.05,10.33,13.62,12.5,15.95,5.96,-114.05,0.11,0.38,0.11,0.57,9.75,6.25,23.58,0.07,0,680,98.59,-95.44682503,-95.45,18393.028,20126.165,26277.428
3/6/2024,10732412552,97.88,88.71,4464870310,99.75,16.57,16.67,6375936467,99.8,0.18,3513016257,417276971,95.98,99.19,603186556,97.95,98.73,16984.3,896.82,24.12,6.48,7937289751,603390256.6,6523752,99.94,0.07,102634.3,2.57295E+13,2279.97,3573.35,351.85,39.25,4.3478E+12,2.61733E+12,1.14632E+12,1.23553E+14,8234998.24,9.01,10.32,13.57,12.52,15.92,5.82,-114.05,0.11,0.38,0.11,0.57,9.64,6.15,24.03,0.08,0,680.39,85.11,-95.606345,-95.61,18020.967,19756.823,26275.427
3/7/2024,10684028491,97.9,88.83,4456077568,99.76,16.49,16.6,6374323345,99.8,0.18,3496324270,418072979,95.94,99.19,601616798,97.93,98.72,16897.55,894.19,24.07,6.39,7935266828,596721808.8,6455746,99.94,0.07,101760.54,2.56486E+13,2268.27,3555.38,351.06,39.06,4.34518E+12,2.60932E+12,1.15548E+12,1.24117E+14,8234094.59,9.02,10.34,13.67,12.53,16.02,5.9,-114.13,0.11,0.37,0.1,0.57,9.59,6.07,24.04,0.08,0,800.05,81.81,-95.4913902,-95.49,17966.862,19590.381,26225.846
3/8/2024,10900815248,97.73,88.52,4491413657,99.76,16.4,16.53,6456645092,99.8,0.18,3555317200,440816871,96.04,99.2,640370969,98.02,98.75,17816.88,915.5,23.17,6.32,7701834883,588065345.9,6828087,99.94,0.07,103447.54,2.46456E+13,2264.89,3549,347.92,38.97,4.25751E+12,2.50421E+12,1.11069E+12,1.21549E+14,7993955.78,9.08,10.3,13.8,12.55,16.13,6.06,-114.18,0.11,0.37,0.11,0.57,9.82,6.2,23.5,0.08,0,613.39,89.02,-95.23727707,-95.24,18902.189,21302.823,27152.328
3/9/2024,10238951101,97.48,87.9,4239972809,99.76,15.59,15.69,6107791040,99.8,0.18,3384001420,424758893,95.98,99.21,595167866,97.96,98.72,18180.61,927.05,24.27,6.31,8167974112,591976925.9,5150080,99.94,0.07,69498.01,2.6119E+13,2125.46,3339.48,333.41,36.73,4.4885E+12,2.65349E+12,1.2016E+12,1.24769E+14,8468364.42,9.03,10.31,13.85,12.67,16.28,6.03,-114.24,0.12,0.39,0.12,0.57,8.34,5.23,24.09,0.08,0,700.14,100.26,-95.38882128,-95.39,19123.644,22125.839,28616.289
3/10/2024,9890409570,97.42,87.79,4097489162,99.76,15.34,15.41,5906775801,99.81,0.17,3265424598,407233774,95.97,99.17,561044360,97.92,98.67,17765.81,930.41,24.56,6.3,8286534825,595323712.9,4229220,99.93,0.07,58252.8,2.65578E+13,2082.69,3272.73,329.28,36.02,4.54709E+12,2.69788E+12,1.21767E+12,1.24582E+14,8587225.93,9,10.34,13.87,12.7,16.37,5.94,-114.27,0.12,0.39,0.11,0.57,7.36,4.61,24.25,0.08,0,683.15,100.89,-95.5411704,-95.54,18701.698,21286.171,27541.054
3/11/2024,10357267145,97.77,88.36,4326186355,99.75,16,16.12,6275860181,99.8,0.17,3467815983,431974185,96.1,99.21,588944470,97.96,98.73,17990.55,939.92,22.88,6.23,7626509635,585738221.1,6644901,99.94,0.07,104313.26,2.44868E+13,2206.22,3453.01,343.63,37.97,4.22598E+12,2.49017E+12,1.08246E+12,1.2387E+14,7922475.87,9.06,10.39,13.85,12.57,16.26,5.88,-114.37,0.1,0.37,0.1,0.56,9.54,6,23.37,0.08,0,662.45,85.1,-95.68338481,-95.68,19121.155,21337.22,26573.883
3/12/2024,10535178786,97.78,88.18,4401748666,99.75,16.09,16.23,6392720750,99.8,0.18,3520301247,445377369,96.07,99.22,613051728,97.94,98.75,18182.38,926.41,22.48,6.25,7503658049,582094661.5,6769652,99.94,0.07,106071.79,2.40068E+13,2227.63,3484.83,344.76,38.3,4.16921E+12,2.44097E+12,1.06407E+12,1.23202E+14,7797453.81,9.08,10.36,13.81,12.56,16.17,5.95,-114.23,0.11,0.37,0.1,0.56,9.68,6.12,23.11,0.08,0,598.98,93.1,-95.47002508,-95.47,19373.478,21634.237,26864.837
3/13/2024,10584745954,97.74,88.29,4408835158,99.75,16.15,16.29,6410495482,99.8,0.17,3519819961,445168849,96.04,99.21,615123867,97.94,98.74,17721.12,918.19,23.03,6.32,7692043394,590124758.1,6724470,99.94,0.06,105185.94,2.46786E+13,2245.5,3509.29,343.91,38.53,4.26948E+12,2.5076E+12,1.08844E+12,1.24879E+14,7990405.45,9.05,10.32,13.82,12.56,16.17,5.95,-114.17,0.1,0.36,0.1,0.56,9.63,6.06,23.15,0.09,0,689.81,100.18,-95.42212244,-95.42,18864.77,20998.439,26088.299
